Iteration,AverageDiscountedReturn,KL,KLBefore,NumTrajs,StdReturn,LossAfter,ProcessExecTime,PolicyExecTime,MaxReturn,dLoss,MinReturn,EnvExecTime,LossBefore,TotalEnvSteps,AverageReturn,GradNorm,Entropy
0,-26.056830820580796,0.0031841127201914787,0.0,348,29.22765010286899,-0.16884882748126984,0.38709139823913574,11.966251850128174,14.650000000000002,-0.0006129145622253418,-119.99999999999997,6.537221670150757,-0.16946174204349518,30045,-54.372126436781606,0.08078064278873029,1.5876585245132446
1,-25.369627705121413,0.0031353191006928682,0.0034600254148244858,326,25.520948470465836,-0.16767266392707825,0.4096341133117676,12.553645372390747,3.7,0.0010213106870651245,-116.24999999999997,6.877758979797363,-0.16665135324001312,60079,-53.15736196319018,0.07421281357628276,1.580471396446228
2,-22.63261789767912,0.003057545982301235,0.003283887403085828,320,21.640840059851964,-0.1664641797542572,0.3534865379333496,11.08199167251587,12.749999999999998,-0.0008394718170166016,-116.25,6.137771844863892,-0.1673036515712738,90169,-49.1109375,0.08291947821134737,1.5699751377105713
3,-20.93657536241491,0.003204694949090481,0.0031450283713638783,312,17.704706311466435,-0.16488724946975708,0.35290002822875977,10.906026124954224,12.650000000000002,0.0005052685737609863,-92.5,6.133099794387817,-0.1643819808959961,120322,-46.04358974358974,0.08173613895364089,1.5586344003677368
4,-18.842057059051694,0.003083369927480817,0.003260221565142274,314,17.597867143178604,-0.16342784464359283,0.3742024898529053,11.760838031768799,16.650000000000002,0.0011779963970184326,-87.49999999999999,6.701519012451172,-0.1622498482465744,150340,-41.18980891719746,0.07897714369006038,1.5440233945846558
5,-18.626745431043563,0.002944317413493991,0.0032020879443734884,304,13.585036720979197,-0.16141711175441742,0.3719658851623535,11.63084077835083,9.700000000000001,0.0012896209955215454,-77.49999999999999,6.68103289604187,-0.16012749075889587,180408,-40.513486842105266,0.07634586313259878,1.5352718830108643
6,-16.261501159223556,0.002711501205340028,0.002934447955340147,304,11.485096323711169,-0.16016680002212524,0.3584744930267334,11.213115692138672,15.450000000000001,0.0004511028528213501,-75.0,6.459962606430054,-0.1597156971693039,210463,-36.85361842105263,0.08456142906685689,1.5230286121368408
7,-15.519446824669606,0.003296006703749299,0.0027743144892156124,304,10.530163929629415,-0.15993008017539978,0.36341166496276855,11.401625156402588,4.85,0.0007191598415374756,-66.25,6.573357343673706,-0.1592109203338623,240599,-34.456250000000004,0.08074587775101567,1.5221632719039917
8,-15.03155341500315,0.003507900284603238,0.0033745698165148497,302,9.442446670837864,-0.15954993665218353,0.3669552803039551,11.437406301498413,-3.949999999999994,0.0019059330224990845,-59.99999999999999,6.619276285171509,-0.15764400362968445,270699,-33.2864238410596,0.08690652123151398,1.5184346437454224
9,-14.943077479571084,0.003351785708218813,0.003519028425216675,302,9.343002901357321,-0.16013062000274658,0.34813427925109863,10.955042839050293,10.75,0.001402139663696289,-56.25,6.403347969055176,-0.1587284803390503,300729,-33.67880794701987,0.08995306984241386,1.5063227415084839
10,-12.778567327356164,0.0035485634580254555,0.00334785133600235,302,6.683751252855855,-0.15812796354293823,0.3528013229370117,11.143532991409302,-5.0500000000000025,-0.0013799816370010376,-50.00000000000001,6.47629451751709,-0.15950794517993927,330842,-28.808278145695365,0.09417535861076204,1.5024335384368896
11,-12.847904936337263,0.003259735880419612,0.003683709539473057,300,6.534040140338562,-0.15726222097873688,0.355327844619751,11.204887390136719,-12.499999999999996,0.00016492605209350586,-48.75000000000001,6.502806663513184,-0.15709729492664337,360842,-28.491666666666667,0.088809058719051,1.4991098642349243
12,-12.632277475456043,0.003001463832333684,0.0032788198441267014,300,5.7273951806694425,-0.15620891749858856,0.35756802558898926,11.175944089889526,-15.000000000000002,0.0006785094738006592,-56.25,6.588432788848877,-0.1555304080247879,390842,-28.283333333333335,0.09933642290349522,1.487398624420166
13,-11.119798433617323,0.003600677475333214,0.0029584087897092104,300,4.5439291000924165,-0.1560315042734146,0.35063672065734863,10.944080591201782,-9.999999999999996,-0.0004466921091079712,-42.50000000000001,6.418646812438965,-0.15647819638252258,420842,-25.225,0.09481506359964181,1.4855101108551025
14,-11.275132645557814,0.0036818066146224737,0.0036490969359874725,300,4.135088672971034,-0.1560998409986496,0.34816503524780273,11.019941806793213,-11.249999999999996,0.0009642094373703003,-41.25000000000001,6.490402460098267,-0.1551356315612793,450842,-25.625,0.11266930690463249,1.474935531616211
15,-10.660340318981783,0.0041360799223184586,0.003627276048064232,300,3.699371192814021,-0.15612348914146423,0.3528172969818115,11.104745149612427,-12.499999999999996,-0.0006117820739746094,-35.0,6.507848262786865,-0.15673527121543884,480842,-24.241666666666667,0.11471815469312717,1.4680249691009521
16,-10.489253145984296,0.0030438373796641827,0.0039640613831579685,300,2.855610948446741,-0.15481436252593994,0.3622596263885498,11.412704467773438,-20.0,0.00033251941204071045,-35.0,6.700231313705444,-0.15448184311389923,510842,-23.958333333333332,0.10671510064101945,1.4648830890655518
17,-10.540325652503741,0.0036545402836054564,0.0030625518411397934,300,3.098790086469235,-0.1542908400297165,0.3490738868713379,11.1437087059021,-20.0,-0.00023381412029266357,-37.50000000000001,6.554264307022095,-0.15452465415000916,540842,-23.6,0.10713629306558689,1.452629566192627
18,-9.680336414452896,0.003541050711646676,0.0036012986674904823,300,2.1942000567151787,-0.15370206534862518,0.3448312282562256,10.837515115737915,-11.25,0.0014308542013168335,-30.000000000000007,6.372795581817627,-0.15227121114730835,570842,-21.991666666666667,0.12408735819073859,1.446138858795166
19,-9.399244165121733,0.003205506131052971,0.0034222982358187437,300,1.5020587723373404,-0.15257559716701508,0.3535776138305664,11.166016817092896,-20.0,0.00039659440517425537,-26.250000000000007,6.536751985549927,-0.15217900276184082,600842,-21.408333333333335,0.13385709257915004,1.4431771039962769
20,-9.505592502235537,0.00340471719391644,0.0031228982843458652,300,2.098693376577173,-0.15146739780902863,0.34937214851379395,10.998960733413696,-20.0,-0.0006899833679199219,-28.750000000000004,6.452605247497559,-0.15215738117694855,630842,-21.541666666666668,0.12399235128395567,1.428388237953186
21,-9.19333717214751,0.0031212775502353907,0.0033647953532636166,300,1.1950127846828906,-0.14962659776210785,0.3549215793609619,11.251603364944458,-20.0,0.0011431574821472168,-25.000000000000007,6.529884338378906,-0.14848344027996063,660842,-20.883333333333333,0.1268257517701338,1.420615553855896
22,-9.111558316894001,0.0029207661282271147,0.0031500947661697865,300,1.5216265054941123,-0.14864517748355865,0.35025620460510254,11.023675203323364,-20.0,0.0010930001735687256,-30.000000000000007,6.4444358348846436,-0.14755217730998993,690842,-20.858333333333334,0.12751404628963908,1.4126018285751343
23,-9.02230066196178,0.0029003864619880915,0.002957727061584592,300,1.4117561955081184,-0.14878030121326447,0.34804582595825195,11.004586696624756,-9.999999999999996,0.0010336339473724365,-25.000000000000004,6.405524492263794,-0.14774666726589203,720842,-20.583333333333332,0.09761803382630402,1.420401692390442
24,-8.998461849202426,0.003416529856622219,0.0028892438858747482,300,0.9523727678219748,-0.14884941279888153,0.35445380210876465,11.176918506622314,-20.0,0.001336216926574707,-25.000000000000004,6.527502536773682,-0.14751319587230682,750842,-20.558333333333334,0.1267533512690853,1.4159846305847168
25,-8.85248289267702,0.0032813840080052614,0.0033793216571211815,300,1.460141735890352,-0.148635134100914,0.3513345718383789,11.142374515533447,-11.249999999999996,0.0006212741136550903,-25.000000000000004,6.461467742919922,-0.1480138599872589,780842,-20.358333333333334,0.12097322373821809,1.4222767353057861
26,-8.859287910388625,0.0030150548554956913,0.003293009242042899,300,0.6563789555838407,-0.14786961674690247,0.35191941261291504,11.100385904312134,-20.0,0.0005443096160888672,-22.500000000000004,6.462338447570801,-0.1473253071308136,810842,-20.3,0.11763766793482296,1.418568730354309
27,-8.965294707753307,0.0029789425898343325,0.002996810246258974,300,1.1617754611895637,-0.1468631774187088,0.3548552989959717,11.15608549118042,-20.0,-0.0013118982315063477,-30.000000000000004,6.515026092529297,-0.14817507565021515,840842,-20.483333333333334,0.15463350208785517,1.408870816230774
28,-8.881860618276304,0.0029425895772874355,0.0029600446578115225,300,0.7234178138070235,-0.14671708643436432,0.35364198684692383,11.08588981628418,-20.0,-0.0005808323621749878,-22.5,6.462839365005493,-0.1472979187965393,870842,-20.35,0.13663000308333204,1.4037634134292603
29,-8.795321437358384,0.003012311877682805,0.00291814049705863,300,0.5786118445613319,-0.14576281607151031,0.3530304431915283,11.178631067276001,-20.0,-8.463859558105469e-05,-23.75,6.5158398151397705,-0.14584745466709137,900842,-20.225,0.11253936027572739,1.4144952297210693
30,-8.850499129177054,0.0031327044125646353,0.002989948960021138,300,0.6944222218666555,-0.14697971940040588,0.3576023578643799,11.323615550994873,-20.0,0.0008743107318878174,-23.75,6.576983690261841,-0.14610540866851807,930842,-20.283333333333335,0.16021099520244705,1.4173678159713745
31,-8.90365831451587,0.0031457284931093454,0.0031036140862852335,300,1.0117709995624284,-0.1471746414899826,0.34433531761169434,10.917192697525024,-20.0,0.00020357966423034668,-27.5,6.3172526359558105,-0.14697106182575226,960842,-20.441666666666666,0.1474538822848979,1.4097495079040527
32,-8.799726939721046,0.002900749444961548,0.003180345520377159,300,0.5416025603090641,-0.14575979113578796,0.3655679225921631,11.555591344833374,-20.0,0.0002298206090927124,-22.5,6.662286281585693,-0.14552997052669525,990842,-20.2,0.1322504202329554,1.4058098793029785
33,-8.774412470839925,0.0030148676596581936,0.0028252298943698406,300,0.5713045500334207,-0.14617112278938293,0.350050687789917,11.03294062614441,-20.0,0.0010126829147338867,-25.000000000000007,6.440851926803589,-0.14515843987464905,1020842,-20.166666666666668,0.12031493051289191,1.4053736925125122
34,-8.821212453445717,0.00298063806258142,0.0030041271820664406,300,0.7216878364870323,-0.14639410376548767,0.34510374069213867,10.918654918670654,-20.0,0.0012642592191696167,-25.000000000000004,6.382741928100586,-0.14512984454631805,1050842,-20.25,0.1598674400115375,1.3989381790161133
35,-8.773086327868347,0.0028744146693497896,0.002998425392434001,300,0.6679674809117251,-0.1450498402118683,0.3515455722808838,11.169334173202515,-20.0,0.001715436577796936,-23.750000000000004,6.509316682815552,-0.14333440363407135,1080842,-20.208333333333332,0.12337916039422554,1.4025553464889526
